"b_nr","generalite","autor","titel","publikation","band","jahr","seiten","ort","ae","zu_ae","cil","sonstigeCorpora","bearbeiter","datum"
"B002459","J","Pani, G.G.","Segno e immagine di scrittura: la tabula ansata e il suo significato simbolico.","In: MGR","10","1986","429-441","Roma","1986, 0014.","","","","Gräf","2004-07-02"
"B002460","N","Chioffi, L.","Documenti epigrafici da un'area suburbana di Roma.","In: MGR","10","1986","361-370","Roma","1986, 0052; 1986, 0053.","","","","Hildebrandt","2004-08-23"
"B002461","N","Corbellini, C.","Nuove iscrizioni di Roma e dell'area di Bovillae.","In: MGR","10","1986","347-351","Roma","1986, 0054; 1986, 0055.","","","","Hildebrandt","2004-08-23"
"B002462","N","De Nino, A.","X. SULMONA - Nuova lapide iscritta della necropoli sulmonese, contenente una parte di un antico testamento.","NSA","","1899","148","","1986, 0219.","","","","Feraudi","2004-12-07"
"B002463","N","Buonocore, M.","Problemi storico-economici in margine all'iscrizione di Sex. Pedius Lusianus Hirrutus (CIL IX 3044 = ILS 2689).","In: MGR","10","1986","255-263","Roma","1986, 0221.","","09, 03044.","ILS 2689.","Hildebrandt","2004-12-07"
"B002464","N","Gasperini, L.","Vecchie e nuove epigrafi del Bruzio Ionico.","In: MGR","10","1986","141-171","Roma","1986, 0211; 1986, 0212; 1986, 0213.","","","","Hildebrandt","2004-08-23"
"B002465","N","Bivona, L.","Una iscrizione inedita di Termini Imerese. Nuovi magistrati nella colonia di Thermae.","In: Studi di storia antica offerti dagli allievi a E. Manni.","","1976","55-66","Roma","1976, 0265.","","","","Gräf","2004-09-13"
"B002466","N","Torelli, M.","Ascesa al senato e rapporti con i territori d'origine. Italia: Regio IV (Samnium).","In: Atti del Colloquio Internazionale AIEGL su Epigrafia e Ordine Senatorio II, Roma 1981, Tituli","5","1982","165-199","Roma","1986, 0221.","","09, 03044.","ILS 2689.","Grimmig","2004-11-03"
"B002467","N","Pető, M.R.","Római kori sírepitmény és szentély darabjai Csillaghegyen.","BR","24","1976","215-216","","1976, 0548; 1976, 0549.","","","TitAq 0659; TitAq 0841.","Feraudi","2015-05-07"
"B002468","N","Pellegrino, A.","Il culto di Vulcano ad Ostia. Nuove testimonianze.","In: MGR","10","1986","289-301","Roma","1986, 0111; 1986, 0112; 1986, 0113; 1986, 0114; 1986, 0115.","","14, 04641; 14, 04644; 14, 04724a; 14, 04724b; 14, 04724c; 14, 04724d; 14, 04724e; 14, 04724f; 14, 04724g.","","Hildebrandt","2004-09-14"
"B002469","J","Ferrua, A.","Iscrizioni pagane delle catacombe di Roma Ad duas lauros.","Epigraphica","27","1965","127-159","","1986, 0035.","","","","Feraudi","2004-12-07"
"B002470","N","Moretti, L.","Due epigrammi greci inediti di Roma.","RPAA","57","1984/85","233-246","","1986, 0109.","","","","Admin","2002-04-26"
"B002471","N","Grünhagen, W.","El monumento a Dis Pater, de Munigua.","In: Segovia. Sympósium de Arqueología Romana, Segovia 1974.","","1977","201-208","Barcelona","1980, 0561; 1972, 0255.","","","","Gräf","2004-09-14"
"B002472","J","Roxan, M.M.","Roman military diplomata and topography.","In: Studien zu den Militärgrenzen Roms 3. 13. Internationaler Limeskongreß, Aalen 1983. Vorträge.","","1986","768-778","Stuttgart","1986, 0010.","","","","Gräf","2016-02-10"
"B002473","N","Bartoccini, R.","La fastezza romana di Bu Ngem.","AI","2","1928/29","50-58","","1980, 0953; 1933, 0042.","","","","Hildebrandt","2004-07-15"
"B002474","N","Marchetti, D.","VIII. TERRACINA - Di varie scoperte di antichità avvenute in occasione degli scavi per la nuova conduttura.","NSA","","1894","250-251","","1986, 0146.","","","","Admin","2002-04-26"
"B002475","J","Christol, M.","A propos des Anicii: Le IIIe siècle.","MEFR","98","1986","141-164","","1986, 0005.","","","","Gräf","2011-04-26"
"B002476","N","Borsari, L.","XII. Terracina - Del tempio di Giove Anxure, scoperto sulla vetta di Monte S. Angelo, presso la città.","NSA","","1894","96-111","","1986, 0144; 1986, 0145.","","","","Hildebrandt","2004-08-23"
"B002477","N","Torelli, M.","Contributo della regio IV all'albo senatorio di età imperiale: M. Hirrius Fronto Neratius Pansa.","In: Acta of the Fifth International Congress of Greek and Latin Epigraphy, Cambridge 1967.","","1971","235-240","Oxford","1974, 0151; 1968, 0145.","","","","Hildebrandt","2004-09-21"
"B002478","N","Barocelli, P.","Biella - Epigrafi romane.","NSA","","1922","198-199","","1986, 0264.","","","","Admin","2002-04-26"
"B002479","J","Rémy, B.","L'iteration du tribunat laticlave au Haut-Empire.","In: B. Rémy, Centre Jean Palerne, Mémoires VII.","","1986","85-157","Saint-Etienne","1986, 0006.","","","","Gräf","2004-12-08"
"B002480","N","Rebecchi, F.","Appunti per una storia di Modena nel tardoimperio: monumenti e contesto sociale.","MEFR","98","1986","881-930","","1986, 0238.","","","","Gräf","2011-04-26"
"B002481","N","Munoz Amilibia, A.M.","Excavaciones de Iponoba. Novedades arqueológicas.","In: Segovia. Sympósium de Arqueología Romana, Segovia 1974.","","1977","279-283","Barcelona","1980, 0559.","","","","Gräf","2004-09-14"
"B002482","N","Priuli, S.","Roma-Lazio. Appendice epigrafica.","NSA","33","1979","328-345","","1980, 0167.","","","","Admin","2002-04-26"
"B002483","N","Cagnat, R.","Chronique d'épigraphie africaine.","BCTH","1","1893","151-169","","1980, 0952.","","08, 02745.","","Hildebrandt","2004-09-20"
"B002484","N","Bean, G.E.","Notes and inscriptions from the Cibyratis and Caralitis.","ABSA","51","1956","136-156","","1980, 0883.","","","","Admin","2002-04-26"
"B002485","J","Jurkić, V.","Kontinuitet štovanja antičkih kultova u periodu učvršćivanja kršćanstva na području Istre.","AArchSlov","30","1979","208-217","","1980, 0497.","","","","Feraudi","2004-07-06"
"B002486","N","Bertacchi, L.","Sull'ara funeraria di C. Oetius Rixa.","AN","55","1984","1-4","","1986, 0241; 1986, 0242.","","","","Hildebrandt","2004-08-23"
"B002487","N","Lopreato, P.","Aquileia: lo scavo a S-O del Foro romano. Gli ambienti tardo-antichi e la Basilica forense.","AN","51","1980","21-96","","1980, 0500.","","","","Imhoff","2004-10-13"
"B002488","N","Marelli, U.","L'epigrafe di Decio a Cosa e l'epiteto di ""restitutor sacrorum"".","Aevum","58","1984","52-56","","1986, 0236; 1973, 0235.","","","","Gräf","2004-12-01"
"B002489","N","Persichetti, N.","Viaggio archeologico sulla Via Salaria nel circondario di Cittaducale.","","","1893","209","Roma","1975, 0361; 1992, 0379.","","","","Gräf","2004-11-08"
"B002490","N","Babcock, C.L.","An inscription of Trajan Decius from Cosa.","AJPh","83","1962","147-158","","1986, 0236; 1973, 0235.","","","","Feraudi","2019-11-07"
"B002491","N","Struck, A.","Inschriften aus Makedonien.","MDAI(A)","27","1902","305-320","","1903, 0323; 1903, 0324; 1983, 0884.","","","","Gräf","2008-02-12"
"B002492","N","Jurkić, V.","Nov prilog pozanvanju Edila u antičkoj Puli.","ZAnt","28","1978","361-365","","1980, 0499.","","","","Feraudi","2009-07-23"
"B002493","N","Vulić, N.","Antički spomenici naše zemlje.","Spomenik","74","1934","3-36","","1983, 0884.","","","","Gräf","2004-12-10"
"B002494","N","Albertini, E.","L'archéologie algérienne en 1930. (Rapport adressé à M. le Gouverneur Général par le Directeur des Antiquités).","RAf","72","1931","186-261","","1980, 0953; 1933, p. 41 s. n. 158; 1933, p. 54 s. n. 206.","","","","Grimmig","2004-09-20"
"B002495","N","Ferchiou, N.","Sur quelques membres de la Tribu Arnensis: Inscriptions de Henchir Romana (en Tunisie).","CT","28","1980","9-24","","1980, 0904; 1980, 0905; 1980, 0906; 1980, 0907; 1980, 0908.","","","","Hildebrandt","2004-08-16"
"B002496","N","Daicoviciu, C.","Contribuţii la syncretismul religios in Sarmizegetusa.","AISC","1, 1","1928-1932","81-88","","1982, 0829; 1930, 0134; 1930, 0135; 1930, 0137; 1930, 0138; 1930, 0139; 1933, 0012; 1933, 0013; 1933, 0015; 1933, 0016; 1933, 0017.","","","IDR 3, 2, 331; IDR 3, 2, 246; IDR 3, 2, 231; IDR 3, 2, 209; IDR 3, 2, 192.","Gräf","2015-04-22"
"B002497","N","Panciera, S.","Lucio Ceio mosaicista aquileiese.","AN","51","1980","237-244","","1980, 0501.","","","","Hildebrandt","2004-08-16"
"B002498","N","Moreau, J.","Sur une inscription de Sinope.","In: J. Moreau, Scripta minora.","","1964","22-25","Heidelberg","1965, 0348.","","","","Gräf","2004-12-07"
"B002499","N","Bella, L.","Levelezés. II. Római Leletekről Sopronban.","AErt","31","1911","365-369","","1913, 0056; 1914, 0005; 1914, 0006; 1914, p. 2 s. n. 6; 1914, 0007.","","","CLEPann 013; RIU 0184; RIU 0185; RIU 0163; RIU 0194.","Gräf","2017-03-01"
"B002500","N","Wolff, H.","Miscellanea Dacica (II).","ActaMusNapoca","13","1976","99-123","","1976, 0570.","","03, 01443.","IDR 3, 2, 001; ILD 238.","Gräf","2007-10-10"
"B002501","N","Peek, W.","Neue Inschriften aus Epidauros.","","63, 5","1972","63","Berlin","1980, 0855; 1980, 0856; 1980, 0857.","","","","Gräf","2005-01-26"
"B002502","N","Krammer, A.","Ein mittelkaiserzeitlicher Zerstörungshorizont in Iuvavum / Salzburg. Die Ausgrabungen im Furtwänglerpark in den Jahren 1987/88.","BVBl","72","2007","7-75","","2007, 1083.","","","","Gräf","2011-06-15"
"B002503","N","Robert, L.","Bulletin épigraphique.","REG","91","1978","502","","1980, 0890.","","","","Admin","2002-04-26"
"B002504","N","Jonnes, L.","Three inscriptions from Heracleia Pontica.","EA","7","1986","97-100","","1986, 0643.","","","","Gräf","2011-04-19"
"B002505","J","Gil, J.","Sobre la inscripción latina en Teja de Villafranca de los Barros.","Habis","16","1985","183-185","","1986, 0325.","","","","Admin","2002-04-26"
"B002506","J","Kotula, T.","Les curies africaines: origine et composition. ""Retractatio''.","Eos","68","1980","133-146","","1980, 0898.","","","","Grimmig","2004-09-22"
"B002507","J","Casson, L.","The role of the state in Rome's grain trade.","MAAR","36","1980","21-33","","1980, 0047.","","","","Grimmig","2004-10-13"
"B002508","N","Panciera, S.","Olearii.","MAAR","36","1980","235-250","","1980, 0033; 1980, 0083; 1980, 0084. 1980, 0098.","","","","Hildebrandt","2004-10-19"
"B002509","N","Pallares, F.","Atti del centro sperimentale di archeologia sottomarina: VII campagna di scavo sul relitto del Golfo Dianese (IM).","RSL","51","1985","613-622","","1986, 0239.","","","","Admin","2002-04-26"
"B002510","J","Bivona, L.","Note sulla gens Maesia nella Sicilia occidentale.","In: Philías chárin. Miscellanea di studi classici in onore di Eugenio Manni.","","1980","233-242","Roma","1980, 0531.","","","","Gräf","2004-11-25"
"B002511","N","Étienne, R. - Mayet, F.","La dénomination antique di Mérida.","RevEstExtremeños","40, 1","1984","159-172","","1984, 0490; 1984, 0422.","","","","Grimmig","2005-03-16"
"B002512","J","French, D.H.","The location of Cretia Flaviopolis in Bithynia.","EA","3","1984","49-58","","1986, 0645.","","","","Gräf","2011-04-19"
"B002513","N","Şahin, S.","Zwei Meilensteine aus der Gegend von Claudiopolis-Krateia.","EA","3","1984","101-104","","1986, 0644; 1986, 0645.","","","","Gräf","2011-04-19"
"B002514","N","Merkelbach, R.","Die Inschriften von Kalchedon.","In: R. Merkelbach, Inschriften griechischer Städte aus Kleinasien. Die Inschriften von Kalchedon.","20","1980","166","Bonn","1986, 0642.","","","","Imhoff","2004-10-15"
"B002515","N","Speidel, M.P.","A soldier of cohors II Lucensium at Calchedon.","EA","7","1986","35-36","","1986, 0642.","","","","Gräf","2011-04-19"
"B002516","N","Şahin, S. - Ögüt-Polat, S.","Katalog der bithynischen Inschriften im Archäologischen Museum von Istanbul.","EA","5","1985","97-124","","1986, 0642.","","","","Gräf","2011-04-19"
"B002517","J","Antico Gallina, M.","I bolli laterizi di Tortona e del Tortonese.","RSL","51","1985","392-416","","1986, 0240.","","","","Gräf","2004-10-01"
"B002518","N","Szabó, K.","Le casque romain d'Intercisa - rédente trouvaille du Danube.","In: Studien zu den Militärgrenzen Roms 3. 13. Internationaler Limeskongreß, Aalen 1983. Vorträge.","","1986","421-425","Stuttgart","1986, 0597.","","","","Gräf","2016-02-10"
"B002519","N","Németh, M. - Kérdő K.","Zur Frage der Besatzung von Aquincum im 1. Jahrhundert.","In: Studien zu den Militärgrenzen Roms 3. 13. Internationaler Limeskongreß, Aalen 1983. Vorträge.","","1986","384-388","Stuttgart","1986, 0590.","","","TitAq 0001.","Gräf","2016-02-10"
"B002520","N","French, D.H.","A severan milestone in the Antalya Museum.","EA","8","1986","84-89","","1986, 0689.","","","","Gräf","2011-04-19"
"B002521","N","Frei-Kronsunski, S.","Meilensteine aus der Gegend von Eskisehir.","EA","8","1986","91-100","","1986, 0678; 1986, 0679; 1986, 0680.","","","","Gräf","2011-04-19"
"B002522","N","Dedeoglu, H. - Malay, H.","A dekaprotos at Philadelphia in Lydia.","EA","8","1986","101-102","","1986, 0672.","","","","Gräf","2011-04-19"
"B002523","N","Kaygusuz, I.","Neue Inschriften aus Ainos (Enez).","EA","8","1986","65-70","","1986, 0628.","","","","Gräf","2011-04-19"
"B002524","N","Kaygusuz, I.","Perge. Unter Kaiser Tacitus Mittelpunkt der Welt.","EA","4","1984","1-4","","1986, 0887.","","","","Gräf","2011-04-19"
"B002525","N","Hošek, R.","Tituli Latini Pannoniae superioris annis 1967-1982 in Slovacia reperti.","","","1985","163 S.","Praha","1988, 0936; 1988, 0937; 1988, 0938.","1972, 0446; 1972, 0447; 1972, 0448.","","CCCA 6, 108; CCID 234.","Gräf","2017-03-09"
"B002526","N","French, D.H.","Milestones of Cappadocia. (Mit türkischer Zusammenfassung)","EA","5","1985","147-154","","1986, 0690; 1986, 0895; 1986, 0982; 1990, 0982.","","","","Gräf","2018-05-03"
"B002527","N","Halfmann, H. - Schwertheim, E.","Neue Inschriften aus Paphlagonien und Bithynien.","EA","8","1986","129-132","","1986, 0666.","","","","Gräf","2011-04-19"
"B002528","N","Sünskes, J.","Eine Brückenbauinschrift unter Konstantin und Licinius aus der Umgebung von Kyzikos.","EA","2","1983","98-105","","1986, 0667.","","","SEG 33, 1051.","Gräf","2011-04-19"
"B002529","N","French, D.H.","Recent epigraphic research in Pontus.","EA","8","1986","71-83","","1986, 0651; 1986, 0652; 1986, 0653; 1986, 0661; 1986, 0664; 1986, 0665.","","","","Gräf","2011-04-19"
"B002530","N","Kaygusuz, I.","Eine neue Ehrung für Quintus Voconius Saxa Fidus in Perge.","EA","2","1983","37-39","","1986, 0686.","","","","Gräf","2011-04-19"
"B002531","N","Christol, M. - Loriot, X.","Le Pontus et ses gouverneurs dans le second tiers du IIIe siècle.","In: B. Rémy, Centre Jean Palerne, Mémoires VII.","","1986","13-40","Saint-Étienne","1986, 0652; 1986, 0654.","","","","Feraudi","2004-12-06"
"B002532","N","Arthur, J. - Munro, R.","Some Pontic milestones.","JHS","20","1900","159-166","","1900, 0152; 1986, 0663.","","03, 14184, 31.","","Feraudi","2019-11-04"
"B002533","N","Jones, C.P.","A Syrian in Lyon.","AJPh","99","1978","336-353","","1981, 0644; 1975, 0614.","","","","Hildebrandt","2004-09-23"
"B002534","N","Beschaouch, A.","Saturne ou plutôt une divinité africaine inconnue?","AntAfr","15","1980","125-134","","1980, 0948.","","","","Feraudi","2004-12-03"
"B002535","N","Trousset, P.","Les milliaires de Chebika (sud-tunisien).","AntAfr","15","1980","135-154","","1980, 0949; 1980, 0950.","","","","Gräf","2004-12-09"
"B002536","N","Stylow, A.U.","Apuntes sobre epigrafía de época flavia en Hispania.","Gerión","4","1986","285-311","","1986, 0307; 1986, 0334a; 1986, 0334b; 1986, 0334c; 1986, 0335.","","02, 02096; 02 (2. Aufl.) 05, 00291; 02 (2. Aufl.) 05, 00292; 02 (2. Aufl.) 05, 00302; 02 (2. Aufl.) 07, 00220.","","Hildebrandt","2004-09-14"
"B002537","N","Reynolds, J.","The inscriptions of Apollonia.","LibAnt (Suppl.)","4","1976","293-333","","1980, 0897.","","","","Gräf","2004-10-08"
"B002538","J","Jacques, F.","L'ordine senatorio attraverso la crisi del III secolo.","In: A. Giardina (Hrsg.), Società romana e impero tardoantico I: istituzioni, ceti, economie.","","1986","81-225","Bari","1986, 0002.","","","","Gräf","2004-07-02"
"B002539","N","Ruprechtsberger, E.M.","Ein neu entdeckter Weihestein an VIBIS aus Lauriacum.","AustrRom","33","1983","20","","1986, 0541.","","","ILLPRON 0923.","Gräf","2014-02-04"
"B002540","J","Corbier, M.","Dévalations et évolution des prix (Ier - IIIe siècles).","RN","27, 6","1985","69-106","","1986, 0012.","","","","Gräf","2005-01-26"
"B002541","J","Criniti, N.","Sulle forze armate romane d'Egitto.","Aegyptus","59, 1/2","1979","190-261","","1980, 0892.","","","","Gräf","2005-01-26"
"B002542","N","Eck, W. - Wolff, H.","Ein Auxiliardiplom aus dem Jahre 203 n. Chr.","In: W. Eck - H. Wolff (Hrsg.), Heer und Integrationspolitik. Die römischen Militärdiplome als historische Quelle.","","1986","556-575","Köln - Wien - Böhlau","1986, 0616.","","","","Gräf","2004-11-05"
"B002543","N","Callu, J.-P.","""Pensa"" et ""Follis"" sur une inscription d'Afrique.","AntAfr","15","1980","273-283","","1980, 0903.","","08, 24609.","","Gräf","2004-12-01"
"B002544","J","Di Vita, A.","Evienza dei terremoti del 306-310 e del 365 d.C. in Tunisia.","AntAfr","15","1980","303-307","","1980, 0899.","","","","Admin","2002-04-26"
"B002545","J","Guadagno, G.","Herculanensium Augustalium aedes.","CronErcol","13","1983","159-173","","1986, 0164; 1979, 0169.","","","","Feraudi","2004-12-07"
"B002546","N","Rossi, M. - Garbini, G.","Nuovi documenti epigrafici dalla Tripolitana romana.","LibAnt","13/14","1976/77","7-20","","1980, 0900.","","","","Admin","2002-04-26"
"B002547","N","Piccottini, G.","Römische Denkmäler aus Kärnten.","AustrRom","35","1985","16-17","","1986, 0537.","","","","Gräf","2014-02-04"
"B002548","N","Weber, E.","Neue römische Inschriften in der Steiermark.","RŒ","11/12","1983/84","337-349","","1986, 0542; 1986, 0543; 1986, 0544; 1992, 1326.","2004, 1067.","","ILLPRON 1225; ILLPRON 1272. ILLPRON 1447.","Gräf","2014-04-11"
"B002549","N","Kolendo, J.","Inscription d'un tenuiarius (marchand de vêtements fins) dans une collection polonaise.","In: Etudes et travaux. Centre d'Archéologie Méditerranéenne de l'Académie Polonaise des Sciences","10","1978","193-204","Warszawa","1978, 0058.","","","","Gräf","2005-03-02"
"B002550","N","Fasola, U.M.","Lavori nella Catacomba ""Ad duas lauros''.","RAC","62","1986","7-37","","1986, 0030; 1986, 0031; 1986, 0032; 1986, 0033; 1986, 0034; 1986, 0035; 1986, 0036; 1986, 0037; 1986, 0038; 1986, 0039; 1986, 0040; 1986, 0041.","","","ICUR n. s. 16662; ICUR n. s. 16720a.","Gräf","2004-11-10"
"B002551","N","Leber, P.","Neue Inschriften aus Töltschach, Gem. Maria Saal.","AustrRom","33","1983","21","","1986, 0540, 1; 1986, 0540, 2; 1986, 0540, 3; 1997, 1218.","","03, 04794; 03, 11503.","CCID 345; ILLPRON 0613; ILLPRON 0638; ILLPRON 0757.","Gräf","2013-01-10"
"B002552","N","Piccottini, G.","Römischer Votivaltar aus Zollfeld KGF: St. Donat, Parz.Nr. 1252.","AustrRom","33","1983","28","","1986, 0538.","","","ILLPRON 0412.","Gräf","2014-01-15"
"B002553","N","Piccottini, G.","Ein Grabtitulus von Zollfeld (Gemeinde Maria Saal).","AustrRom","34","1984","42","","1986, 0539.","","","ILLPRON 0746.","Gräf","2012-08-10"
"B002554","N","Fuchs, M.","Neue römische Meilensteine aus Spittal/Drau.","AustrRom","34","1984","25-26","","1986, 0536a; 1986, 0536b.","","","","Gräf","2014-02-04"
"B002555","N","Degrassi, A.","Nuovi militari arcaici.","In: A. Degrassi, Scritti vari di antichità","3","1967","195-209","Venezia - Trieste","1975, 0379.","","","","Gräf","2004-12-03"
